Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration in min,No of Stops,Days,Payment for extra baggage
Jet Airways,3/3/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,18:50,9h 50m,1 stop,No info,17024,590,1,Saturday,Yes
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,4/2/2019 8:15,13h 20m,1 stop,No info,12681,800,1,Sunday,Yes
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:00,8h 25m,1 stop,No info,10678,505,1,Monday,Yes
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,3/25/2019 12:00,27h 35m,1 stop,No info,13759,1655,1,Tuesday,Yes
SpiceJet,3/6/2019,Mumbai,Hyderabad,BOM ? HYD,22:45,6/4/2019 0:15,1h 30m,non-stop,No info,2017,90,0,Wednesday,Yes
SpiceJet,15/06/2019,Banglore,Delhi,BLR ? DEL,9:30,12:20,2h 50m,non-stop,No check-in baggage included,4885,170,0,Thursday,Yes
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,6:00,19:15,13h 15m,1 stop,No info,10786,795,1,Friday,Yes
Vistara,12/3/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,7:30,3/13/2019 9:25,25h 55m,1 stop,No info,12080,1555,1,Saturday,Yes
IndiGo,9/6/2019,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4804,155,0,Sunday,Yes
Air India,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,21:00,3/22/2019 19:15,22h 15m,1 stop,No info,6587,1335,1,Monday,Yes
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,5:10,18:50,13h 40m,2 stops,In-flight meal not included,8728,820,2,Tuesday,Yes
Air Asia,18/05/2019,Delhi,Cochin,DEL ? BLR ? COK,20:45,5/19/2019 7:10,10h 25m,1 stop,No info,7452,625,1,Wednesday,Yes
IndiGo,6/6/2019,Banglore,Delhi,BLR ? DEL,20:00,22:50,2h 50m,non-stop,No info,4823,170,0,Thursday,Yes
Multiple carriers,9/5/2019,Delhi,Cochin,DEL ? HYD ? COK,7:05,22:30,15h 25m,1 stop,No info,8310,925,1,Friday,Yes
Vistara,1/4/2019,Banglore,Delhi,BLR ? DEL,11:30,14:20,2h 50m,non-stop,No info,5403,170,0,Saturday,Yes
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,6/10/2019 12:35,22h,2 stops,No info,13376,1320,2,Sunday,Yes
Multiple carriers,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:00,8h 25m,1 stop,No info,10877,505,1,Monday,Yes
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:50,3/8/2019 0:45,25h 55m,1 stop,No info,14815,1555,1,Tuesday,Yes
IndiGo,21/03/2019,Delhi,Cochin,DEL ? HYD ? COK,6:40,16:10,9h 30m,1 stop,No info,6558,570,1,Wednesday,Yes
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,9:00,21:00,12h,1 stop,No info,14067,720,1,Thursday,Yes
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,9:15,19:00,9h 45m,1 stop,No info,9627,585,1,Friday,Yes
Jet Airways,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,6/4/2019 19:00,23h 45m,1 stop,No info,14714,1425,1,Saturday,Yes
IndiGo,9/5/2019,Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,non-stop,No info,5000,195,0,Sunday,Yes
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,9845,900,1,Monday,Yes
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,5/19/2019 16:20,21h 25m,1 stop,In-flight meal not included,10844,1285,1,Tuesday,Yes
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,4:45,13:20,8h 35m,1 stop,No info,7048,515,1,Wednesday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,6/13/2019 10:55,25h 20m,1 stop,No info,12692,1520,1,Thursday,Yes
Jet Airways,9/3/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,3/10/2019 18:50,21h,1 stop,In-flight meal not included,13843,1260,1,Friday,Yes
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,3/19/2019 7:40,17h 35m,1 stop,In-flight meal not included,7832,1055,1,Saturday,Yes
IndiGo,1/6/2019,Mumbai,Hyderabad,BOM ? HYD,9:15,10:45,1h 30m,non-stop,No info,4049,90,0,Sunday,Yes
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,8:00,18:50,10h 50m,1 stop,No info,12242,650,1,Monday,Yes
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,6/25/2019 19:00,23h 45m,1 stop,In-flight meal not included,10262,1425,1,Tuesday,Yes
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,8:25,19:50,11h 25m,1 stop,No info,14571,685,1,Wednesday,Yes
SpiceJet,24/05/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,4174,150,0,Thursday,Yes
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,6:00,12:35,6h 35m,1 stop,No info,11264,395,1,Friday,Yes
IndiGo,18/04/2019,Kolkata,Banglore,CCU ? BLR,21:25,4/19/2019 0:05,2h 40m,non-stop,No info,4174,160,0,Saturday,Yes
IndiGo,12/6/2019,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,non-stop,No info,3540,145,0,Sunday,Yes
Vistara,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,7:10,20:20,13h 10m,1 stop,No info,9345,790,1,Monday,Yes
Air India,6/6/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,6/7/2019 19:15,26h 35m,2 stops,No info,9653,1595,2,Tuesday,Yes
IndiGo,18/03/2019,Mumbai,Hyderabad,BOM ? HYD,6:20,7:45,1h 25m,non-stop,No info,3342,85,0,Wednesday,Yes
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,5/19/2019 1:30,15h 30m,1 stop,No info,8073,930,1,Thursday,Yes
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? BOM ? BLR,6:30,20:45,14h 15m,1 stop,In-flight meal not included,7064,855,1,Friday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,6/28/2019 12:35,22h,2 stops,No info,13376,1320,2,Saturday,Yes
Multiple carriers,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,8:25,18:50,10h 25m,1 stop,No info,15135,625,1,Sunday,Yes
Air India,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,20:25,10h 25m,1 stop,No info,10413,625,1,Monday,Yes
Vistara,1/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,5/2/2019 10:45,14h 25m,1 stop,No info,9187,865,1,Tuesday,Yes
Jet Airways,1/6/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,9:35,6/2/2019 12:35,27h,2 stops,No info,13292,1620,2,Wednesday,Yes
IndiGo,9/3/2019,Delhi,Cochin,DEL ? HYD ? COK,7:35,16:10,8h 35m,1 stop,No info,6674,515,1,Thursday,Yes
IndiGo,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,5/10/2019 1:30,8h,1 stop,No info,8330,480,1,Friday,Yes
Multiple carriers,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,6:40,19:00,12h 20m,1 stop,No info,11200,740,1,Saturday,Yes
Jet Airways,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,6/4/2019 12:35,26h 35m,1 stop,In-flight meal not included,10262,1595,1,Sunday,Yes
Vistara,15/04/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216,190,0,Monday,Yes
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,5/19/2019 19:50,23h 50m,1 stop,In-flight meal not included,10844,1430,1,Tuesday,Yes
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:55,3/25/2019 18:10,25h 15m,1 stop,In-flight meal not included,11134,1515,1,Wednesday,Yes
IndiGo,18/06/2019,Chennai,Kolkata,MAA ? CCU,22:05,6/19/2019 0:25,2h 20m,non-stop,No info,5277,140,0,Thursday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,8:10,6/28/2019 12:35,28h 25m,2 stops,No info,14300,1705,2,Friday,Yes
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:50,3/7/2019 20:20,21h 30m,1 stop,No info,17471,1290,1,Saturday,Yes
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/22/2019 9:20,12h 10m,1 stop,In-flight meal not included,10844,730,1,Sunday,Yes
SpiceJet,15/03/2019,Banglore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,non-stop,No check-in baggage included,5469,170,0,Monday,Yes
Jet Airways,9/6/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,6/10/2019 12:35,22h 35m,1 stop,In-flight meal not included,10262,1355,1,Tuesday,Yes
SpiceJet,6/3/2019,Delhi,Cochin,DEL ? BLR ? COK,16:35,22:50,6h 15m,1 stop,No info,7185,375,1,Wednesday,Yes
Air Asia,18/06/2019,Kolkata,Banglore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,3807,150,0,Thursday,Yes
Jet Airways,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,6/2/2019 4:25,10h 55m,1 stop,No info,14714,655,1,Friday,Yes
Vistara,6/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,7:10,20:20,13h 10m,1 stop,No info,8610,790,1,Saturday,Yes
Jet Airways,6/3/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,18:50,11h 45m,1 stop,No info,17234,705,1,Sunday,Yes
Multiple carriers,12/6/2019,Delhi,Cochin,DEL ? GWL ? IDR ? BOM ? COK,11:35,21:00,9h 25m,3 stops,No info,15629,565,1,Monday,Yes
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,7:05,21:20,14h 15m,2 stops,No info,6128,855,2,Tuesday,Yes
Jet Airways,9/3/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,3/10/2019 4:25,12h 25m,1 stop,No info,16289,745,1,Wednesday,Yes
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,19:00,13h 30m,2 stops,No info,15129,810,2,Thursday,Yes
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,3/19/2019 10:25,20h 20m,1 stop,In-flight meal not included,7832,1220,1,Friday,Yes
Jet Airways,1/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,8:00,16:10,8h 10m,1 stop,No info,22270,490,1,Saturday,Yes
Jet Airways,1/5/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,5/2/2019 9:45,16h 45m,1 stop,No info,11467,1005,1,Sunday,Yes
IndiGo,9/5/2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,1h 30m,non-stop,No info,4392,90,0,Monday,Yes
SpiceJet,6/5/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,4491,150,0,Tuesday,Yes
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,5/19/2019 9:20,12h 10m,1 stop,In-flight meal not included,9663,730,1,Wednesday,Yes
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:35,6/28/2019 1:30,6h 55m,1 stop,No info,5883,415,1,Thursday,Yes
Air India,3/3/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,3/4/2019 7:40,12h 40m,1 stop,No info,14777,760,1,Friday,Yes
Air Asia,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BLR,6:50,10:30,3h 40m,1 stop,No info,5162,220,1,Saturday,Yes
IndiGo,1/6/2019,Kolkata,Banglore,CCU ? BLR,21:25,6/2/2019 0:05,2h 40m,non-stop,No info,4804,160,0,Sunday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,6/13/2019 12:00,21h 55m,1 stop,In-flight meal not included,8529,1315,1,Monday,Yes
Jet Airways,9/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,6:30,16:20,9h 50m,1 stop,In-flight meal not included,10844,590,1,Tuesday,Yes
SpiceJet,9/4/2019,Kolkata,Banglore,CCU ? BLR,6:55,9:30,2h 35m,non-stop,No info,3873,155,0,Wednesday,Yes
IndiGo,12/6/2019,Kolkata,Banglore,CCU ? BLR,9:35,12:20,2h 45m,non-stop,No info,4804,165,0,Thursday,Yes
Jet Airways,12/5/2019,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,non-stop,No info,5678,85,0,Friday,Yes
Jet Airways,1/4/2019,Kolkata,Banglore,CCU ? BOM ? BLR,6:30,18:15,11h 45m,1 stop,No info,12681,705,1,Saturday,Yes
Jet Airways,15/03/2019,Banglore,New Delhi,BLR ? BDQ ? DEL,5:50,12:20,6h 30m,1 stop,No info,9623,390,1,Sunday,Yes
Multiple carriers,3/3/2019,Delhi,Cochin,DEL ? BOM ? COK,8:55,21:00,12h 5m,1 stop,No info,15147,725,1,Monday,Yes
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,7:10,23:25,16h 15m,1 stop,No info,9345,975,1,Tuesday,Yes
Jet Airways,6/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,5/7/2019 10:05,15h 10m,1 stop,In-flight meal not included,7757,910,1,Wednesday,Yes
Jet Airways,12/5/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,5/13/2019 12:00,19h 30m,1 stop,In-flight meal not included,10844,1170,1,Thursday,Yes
Air India,3/3/2019,Banglore,New Delhi,BLR ? CCU ? GAU ? DEL,11:05,3/7/2019 22:10,35h 5m,2 stops,No info,11948,2105,2,Friday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,6:45,6/28/2019 12:35,29h 50m,2 stops,No info,13376,1790,2,Saturday,Yes
Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,5/16/2019 4:40,9h 40m,1 stop,No info,6117,580,1,Sunday,Yes
IndiGo,6/3/2019,Delhi,Cochin,DEL ? HYD ? COK,4:55,16:10,11h 15m,1 stop,No info,6171,675,1,Monday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,19:50,5h 45m,1 stop,No info,13626,345,1,Tuesday,Yes
Jet Airways,6/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,3/7/2019 19:10,21h 45m,1 stop,No info,17471,1305,1,Wednesday,Yes
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,19:15,8h 55m,1 stop,No info,7531,535,1,Thursday,Yes
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,5/10/2019 4:25,13h 25m,1 stop,In-flight meal not included,12373,805,1,Friday,Yes
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,12:35,5h 30m,1 stop,No info,16289,330,1,Saturday,Yes
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,4777,170,0,Sunday,Yes
Jet Airways,21/04/2019,Banglore,Delhi,BLR ? DEL,8:20,11:20,3h,non-stop,In-flight meal not included,5198,180,0,Monday,Yes
Jet Airways,6/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844,570,1,Tuesday,Yes
Air India,18/05/2019,Banglore,Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,7171,165,0,Wednesday,Yes
Air India,27/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,18:45,6/28/2019 19:15,24h 30m,2 stops,No info,11942,1470,2,Thursday,Yes
IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,10:30,13:20,2h 50m,non-stop,No info,4423,170,0,Friday,Yes
Vistara,18/03/2019,Delhi,Cochin,DEL ? COK,14:55,17:50,2h 55m,non-stop,No info,5586,175,0,Saturday,Yes
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:55,3/25/2019 12:00,19h 5m,1 stop,In-flight meal not included,11134,1145,1,Sunday,Yes
Air Asia,24/03/2019,Banglore,New Delhi,BLR ? DEL,5:50,8:40,2h 50m,non-stop,No info,4284,170,0,Monday,Yes
Air India,1/5/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245,150,0,Tuesday,Yes
SpiceJet,15/03/2019,Banglore,New Delhi,BLR ? PNQ ? DEL,10:20,18:15,7h 55m,1 stop,No info,10341,475,1,Wednesday,Yes
SpiceJet,3/3/2019,Banglore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,non-stop,No info,6860,170,0,Thursday,Yes
Air India,3/4/2019,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,2050,75,0,Friday,Yes
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:45,6/25/2019 1:30,7h 45m,1 stop,In-flight meal not included,5797,465,1,Saturday,Yes
IndiGo,9/3/2019,Banglore,New Delhi,BLR ? DEL,8:30,11:30,3h,non-stop,No info,7648,180,0,Sunday,Yes
Air India,15/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,non-stop,No info,8851,165,0,Monday,Yes
Air India,6/6/2019,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,10:00,6/7/2019 5:25,19h 25m,2 stops,No info,13007,1165,2,Tuesday,Yes
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,5/25/2019 9:45,24h 10m,1 stop,No info,13067,1450,1,Wednesday,Yes
IndiGo,18/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,16:55,21:50,4h 55m,1 stop,No info,4049,295,1,Thursday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,6/13/2019 18:00,25h,1 stop,No info,12692,1500,1,Friday,Yes
Air India,9/5/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667,135,0,Saturday,Yes
Multiple carriers,3/3/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,7:10,21:20,14h 10m,2 stops,In-flight meal not included,8938,850,2,Sunday,Yes
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,7:30,15:30,8h,1 stop,No info,10208,480,1,Monday,Yes
Multiple carriers,3/6/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,7354,470,1,Tuesday,Yes
Air India,21/04/2019,Banglore,Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,5438,165,0,Wednesday,Yes
Air Asia,24/05/2019,Kolkata,Banglore,CCU ? BLR,22:50,5/25/2019 1:20,2h 30m,non-stop,No info,4107,150,0,Thursday,Yes
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,3/25/2019 12:00,16h 15m,1 stop,In-flight meal not included,11134,975,1,Friday,Yes
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,6/16/2019 12:35,15h 40m,1 stop,In-flight meal not included,10262,940,1,Saturday,Yes
Air India,24/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,7:00,5/25/2019 1:20,18h 20m,2 stops,No info,14083,1100,2,Sunday,Yes
Vistara,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,7:10,23:25,16h 15m,1 stop,No info,9345,975,1,Monday,Yes
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,5/10/2019 12:35,19h 5m,1 stop,In-flight meal not included,12373,1145,1,Tuesday,Yes
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,6/16/2019 1:30,9h 30m,1 stop,In-flight meal not included,10196,570,1,Wednesday,Yes
IndiGo,15/04/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,5h,1 stop,No info,5947,300,1,Thursday,Yes
Jet Airways,12/6/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,6/13/2019 9:20,19h 15m,1 stop,No info,13044,1155,1,Friday,Yes
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,5:45,5/19/2019 9:20,27h 35m,1 stop,In-flight meal not included,9663,1655,1,Saturday,Yes
Jet Airways,1/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,5:45,20:20,14h 35m,1 stop,No info,27992,875,1,Sunday,Yes
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? HYD ? BLR,15:10,19:50,4h 40m,1 stop,No info,7476,280,1,Monday,Yes
Air India,9/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,7:00,20:25,13h 25m,1 stop,No info,10413,805,1,Tuesday,Yes
Multiple carriers,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,10261,455,1,Wednesday,Yes
Jet Airways,6/6/2019,Kolkata,Banglore,CCU ? DEL ? BLR,9:35,23:35,14h,1 stop,No info,14151,840,1,Thursday,Yes
Air India,6/4/2019,Banglore,Delhi,BLR ? DEL,6:10,8:55,2h 45m,non-stop,No info,5176,165,0,Friday,Yes
Jet Airways,6/6/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,6/7/2019 4:25,18h 25m,1 stop,No info,14714,1105,1,Saturday,Yes
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,5/16/2019 14:25,21h 25m,1 stop,In-flight meal not included,9314,1285,1,Sunday,Yes
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,6/25/2019 4:25,6h 35m,1 stop,No info,14714,395,1,Monday,Yes
Multiple carriers,6/6/2019,Delhi,Cochin,DEL ? BOM ? COK,8:00,19:00,11h,1 stop,No info,12192,660,1,Tuesday,Yes
SpiceJet,3/4/2019,Mumbai,Hyderabad,BOM ? HYD,22:45,4/2/2019 0:15,1h 30m,non-stop,No info,1759,90,0,Wednesday,Yes
IndiGo,27/03/2019,Delhi,Cochin,DEL ? MAA ? COK,2:05,7:25,5h 20m,1 stop,No info,4744,320,1,Thursday,Yes
Jet Airways,21/05/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,7229,180,0,Friday,Yes
Jet Airways,9/3/2019,Delhi,Cochin,DEL ? BOM ? COK,0:20,3/10/2019 4:25,28h 5m,1 stop,No info,15029,1685,1,Saturday,Yes
IndiGo,15/03/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:05,2h 40m,non-stop,No info,4462,160,0,Sunday,Yes
SpiceJet,12/3/2019,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,non-stop,No info,6300,135,0,Monday,Yes
Air India,21/03/2019,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,2575,75,0,Tuesday,Yes
Jet Airways,12/3/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,3/13/2019 19:10,24h 15m,1 stop,In-flight meal not included,11087,1455,1,Wednesday,Yes
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,4:00,13:20,9h 20m,1 stop,No info,6305,560,1,Thursday,Yes
Vistara,9/3/2019,Banglore,New Delhi,BLR ? DEL,19:40,22:20,2h 40m,non-stop,No info,8290,160,0,Friday,Yes
Jet Airways,18/06/2019,Banglore,Delhi,BLR ? DEL,7:10,10:10,3h,non-stop,In-flight meal not included,5769,180,0,Saturday,Yes
IndiGo,12/4/2019,Banglore,Delhi,BLR ? DEL,21:15,4/13/2019 0:15,3h,non-stop,No info,4990,180,0,Sunday,Yes
Air Asia,3/3/2019,Banglore,New Delhi,BLR ? DEL,23:25,3/4/2019 2:10,2h 45m,non-stop,No info,6135,165,0,Monday,Yes
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BLR ? COK,2:00,7:45,5h 45m,1 stop,No info,5733,345,1,Tuesday,Yes
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,6:00,21:00,15h,1 stop,No info,7670,900,1,Wednesday,Yes
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,6/28/2019 19:00,23h 50m,2 stops,No info,12819,1430,2,Thursday,Yes
IndiGo,3/5/2019,Banglore,Delhi,BLR ? DEL,20:00,22:50,2h 50m,non-stop,No info,4823,170,0,Friday,Yes
IndiGo,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,4:55,21:00,16h 5m,1 stop,No info,6979,965,1,Saturday,Yes
Air India,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,9:25,18:30,9h 5m,1 stop,No info,10493,545,1,Sunday,Yes
Air India,9/3/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,20:00,3/10/2019 19:15,23h 15m,2 stops,No info,16111,1395,2,Monday,Yes
Air India,9/6/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,6/10/2019 19:15,21h 15m,2 stops,No info,10651,1275,2,Tuesday,Yes
IndiGo,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,5:05,16:10,11h 5m,1 stop,No info,6600,665,1,Wednesday,Yes
Jet Airways,12/6/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,6/13/2019 12:35,22h,2 stops,In-flight meal not included,10919,1320,2,Thursday,Yes
IndiGo,21/03/2019,Kolkata,Banglore,CCU ? BLR,10:10,12:55,2h 45m,non-stop,No info,5198,165,0,Friday,Yes
Air India,12/3/2019,Banglore,New Delhi,BLR ? BOM ? JDH ? DEL,8:50,3/13/2019 16:20,31h 30m,2 stops,No info,12778,1890,2,Saturday,Yes
IndiGo,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:30,1h 25m,non-stop,No info,2754,85,0,Sunday,Yes
Jet Airways,9/5/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,5/10/2019 19:00,19h 55m,2 stops,No info,15129,1195,2,Monday,Yes
IndiGo,9/5/2019,Delhi,Cochin,DEL ? BOM ? COK,20:25,5/10/2019 1:30,5h 5m,1 stop,No info,7255,305,1,Tuesday,Yes
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,7:05,13:20,6h 15m,1 stop,No info,14486,375,1,Wednesday,Yes
GoAir,21/04/2019,Delhi,Cochin,DEL ? BOM ? COK,7:00,12:55,5h 55m,1 stop,No info,6591,355,1,Thursday,Yes
SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,21:10,5/22/2019 0:05,2h 55m,non-stop,No check-in baggage included,3573,175,0,Friday,Yes
Jet Airways,1/6/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,6/2/2019 12:35,21h 35m,1 stop,In-flight meal not included,10262,1295,1,Saturday,Yes
